"Intervals","Category","Count","Hurricane Intensity"
"(1850,1855]","1",5,"Low"
"(1855,1860]","1",3,"Low"
"(1860,1865]","1",3,"Low"
"(1865,1870]","1",5,"Low"
"(1870,1875]","1",3,"Low"
"(1875,1880]","1",4,"Low"
"(1880,1885]","1",1,"Low"
"(1885,1890]","1",7,"Low"
"(1890,1895]","1",4,"Low"
"(1895,1900]","1",4,"Low"
"(1900,1905]","1",6,"Low"
"(1905,1910]","1",4,"Low"
"(1910,1915]","1",6,"Low"
"(1915,1920]","1",3,"Low"
"(1920,1925]","1",3,"Low"
"(1925,1930]","1",1,"Low"
"(1930,1935]","1",1,"Low"
"(1935,1940]","1",3,"Low"
"(1940,1945]","1",3,"Low"
"(1945,1950]","1",5,"Low"
"(1950,1955]","1",5,"Low"
"(1955,1960]","1",3,"Low"
"(1960,1965]","1",1,"Low"
"(1965,1970]","1",2,"Low"
"(1970,1975]","1",3,"Low"
"(1975,1980]","1",3,"Low"
"(1980,1985]","1",3,"Low"
"(1985,1990]","1",6,"Low"
"(1990,1995]","1",0,"Low"
"(1995,2000]","1",3,"Low"
"(2000,2005]","1",5,"Low"
"(2005,2010]","1",2,"Low"
"(2010,2015]","1",3,"Low"
"(2015,2020]","1",2,"Low"
"(1850,1855]","2",2,"Low"
"(1855,1860]","2",3,"Low"
"(1860,1865]","2",2,"Low"
"(1865,1870]","2",4,"Low"
"(1870,1875]","2",1,"Low"
"(1875,1880]","2",5,"Low"
"(1880,1885]","2",4,"Low"
"(1885,1890]","2",5,"Low"
"(1890,1895]","2",2,"Low"
"(1895,1900]","2",3,"Low"
"(1900,1905]","2",0,"Low"
"(1905,1910]","2",4,"Low"
"(1910,1915]","2",2,"Low"
"(1915,1920]","2",2,"Low"
"(1920,1925]","2",1,"Low"
"(1925,1930]","2",2,"Low"
"(1930,1935]","2",4,"Low"
"(1935,1940]","2",3,"Low"
"(1940,1945]","2",3,"Low"
"(1945,1950]","2",3,"Low"
"(1950,1955]","2",0,"Low"
"(1955,1960]","2",1,"Low"
"(1960,1965]","2",3,"Low"
"(1965,1970]","2",2,"Low"
"(1970,1975]","2",1,"Low"
"(1975,1980]","2",1,"Low"
"(1980,1985]","2",1,"Low"
"(1985,1990]","2",0,"Low"
"(1990,1995]","2",2,"Low"
"(1995,2000]","2",4,"Low"
"(2000,2005]","2",2,"Low"
"(2005,2010]","2",2,"Low"
"(2010,2015]","2",1,"Low"
"(2015,2020]","2",0,"Low"
"(1850,1855]","3",4,"High"
"(1855,1860]","3",1,"High"
"(1860,1865]","3",0,"High"
"(1865,1870]","3",1,"High"
"(1870,1875]","3",3,"High"
"(1875,1880]","3",4,"High"
"(1880,1885]","3",2,"High"
"(1885,1890]","3",2,"High"
"(1890,1895]","3",3,"High"
"(1895,1900]","3",2,"High"
"(1900,1905]","3",0,"High"
"(1905,1910]","3",4,"High"
"(1910,1915]","3",0,"High"
"(1915,1920]","3",5,"High"
"(1920,1925]","3",1,"High"
"(1925,1930]","3",2,"High"
"(1930,1935]","3",4,"High"
"(1935,1940]","3",2,"High"
"(1940,1945]","3",5,"High"
"(1945,1950]","3",4,"High"
"(1950,1955]","3",4,"High"
"(1955,1960]","3",1,"High"
"(1960,1965]","3",2,"High"
